anio,provincia,nacimientos_cantidad,poblacion,tgf,defunciones,tbn,tbm,crecimiento_vegetativo,tasa_crecimiento
2014,entre_rios,23208,1308290,2.5341694665774193,9824,17.739186266041933,7.5090385159253685,13384,10.230147750116565
2014,formosa,12190,573823,3.034783498445638,3570,21.243484489119467,6.221430650217925,8620,15.022053838901542
2014,jujuy,13689,718971,2.719958702884301,4066,19.039710920190107,5.655304595039299,9623,13.384406325150808
2014,la_pampa,5548,339895,2.3318125555581237,2517,16.322687888906867,7.405228085143941,3031,8.917459803762926
2014,la_rioja,6303,352696,2.5529877612124077,2024,17.870914328486855,5.738653117699095,4279,12.13226121078776
2014,mendoza,35598,1863809,2.7285137969762845,13200,19.099596578833992,7.082270769161433,22398,12.01732580967256
2014,misiones,27760,1174542,3.3763920623649777,6573,23.634744436554843,5.5962238898225865,21187,18.038520546732258
2014,neuquen,11864,610449,2.7764107122087887,3030,19.43487498546152,4.963559609402259,8834,14.471315376059259
2014,rio_negro,12268,688873,2.5441139782970574,4182,17.8087978480794,6.070785181013046,8086,11.738012667066354
2014,salta,28482,1314726,3.094832796230654,7444,21.663829573614578,5.662016268028472,21038,16.001813305586104
2014,san_juan,15229,730408,2.97857009859069,4766,20.84999069013483,6.525120206788535,10463,14.324870483346295
2014,san_luis,7882,469889,2.3963106180395792,3011,16.774174326277056,6.407896332963742,4871,10.366277993313314
2014,santa_cruz,6110,311444,2.8026134485080556,1494,19.61829413955639,4.797010056382528,4616,14.821284083173861
2014,santa_fe,57637,3369365,2.4437415189085017,29374,17.10619063235951,8.71796317703781,28263,8.3882274553217
2014,santiago_del_estero,19630,918147,3.0542883811478054,5529,21.380018668034637,6.021911523971651,14101,15.358107144062986
2014,tierra_del_fuego,3025,146247,2.9548835678192176,511,20.684184974734524,3.4940887676328405,2514,17.190096207101682
2014,tucuman,30572,1572205,2.7779001920414776,10249,19.445301344290343,6.518869994688988,20323,12.926431349601355
2015,buenos_aires,283863,16660140,2.4340646082720276,136558,17.038452257904193,8.196689823734975,147305,8.841762434169219
2015,capital_federal,43255,3054267,2.0231648753320237,31714,14.162154127324166,10.383506091641626,11541,3.77864803568254
2015,catamarca,6805,396895,2.4493703804352718,2529,17.1455926630469,6.371962357802442,4276,10.77363030524446
2015,chaco,23739,1143201,2.966482459589971,7699,20.765377217129796,6.734598727607831,16040,14.030778489521964
2015,chubut,9589,566922,2.416306198837129,3189,16.914143391859902,5.625112449331654,6400,11.289030942528248
2015,cordoba,58472,3567654,2.341354530776487,28880,16.38948171543541,8.09495539645941,29592,8.294526318975999
2015,corrientes,20014,1070283,2.671389583075558,6902,18.699727081528906,6.448761682657764,13112,12.250965398871141
2015,entre_rios,22527,1321415,2.4353763633248127,10265,17.047634543273688,7.768187889497243,12262,9.279446653776445
2015,formosa,11795,579250,2.908933966335779,3597,20.362537764350453,6.209753992231334,8198,14.152783772119118
2015,jujuy,12761,727780,2.504877847701228,4105,17.534144933908596,5.640440792547198,8656,11.893704141361397
2015,la_pampa,5228,343056,2.177070632366561,2542,15.239494426565926,7.409868942679912,2686,7.829625483886014
2015,la_rioja,6104,357828,2.4369250030741023,2178,17.058475021518717,6.08672323015527,3926,10.971751791363447
2015,mendoza,33935,1885551,2.5710559634065286,13770,17.9973917438457,7.302905092463688,20165,10.694486651382011
2015,misiones,26434,1189446,3.1748273686117017,6811,22.22379158028191,5.7261952202958355,19623,16.497596359986076
2015,neuquen,11611,619745,2.6764464186307038,3262,18.735124930414926,5.263455130739255,8349,13.47166979967567
2015,rio_negro,12268,698874,2.50770729569483,4344,17.55395106986381,6.215712703577469,7924,11.33823836628634
2015,salta,27191,1333365,2.9132522388307565,7571,20.392765671815294,5.678115144765312,19620,14.714650527049983
2015,san_juan,14430,738959,2.789638628704125,4848,19.527470400928873,6.560580492287122,9582,12.96688990864175
2015,san_luis,7864,476351,2.358404981680675,3215,16.508834871764726,6.749224836307681,4649,9.759610035457046
2015,santa_cruz,6252,320469,2.786986751114327,1510,19.50890725780029,4.7118442033394805,4742,14.797063054460807
2015,santa_fe,56530,3397532,2.3769354595377723,29534,16.638548216764406,8.692780524215813,26996,7.945767692548593
2015,santiago_del_estero,18789,928097,2.8920930216807696,5925,20.24465115176539,6.3840309795204595,12864,13.860620172244928
2015,tierra_del_fuego,2948,151084,2.7874748957060786,521,19.51232426994255,3.4484128034735644,2427,16.063911466468987
2015,tucuman,28919,1592878,2.5935983259770765,10891,18.155188281839536,6.837309574242346,18028,11.317878707597188
2016,buenos_aires,268841,16841517,2.280427418911084,141644,15.962991932377587,8.41040625972114,127197,7.552585672656447
2016,capital_federal,40771,3059122,1.9039543278851156,33136,13.32768029519581,10.831866136754272,7635,2.4958141584415383
2016,catamarca,6705,400678,2.39059080572715,2604,16.73413564009005,6.498984221744144,4101,10.235151418345904
2016,chaco,22569,1155723,2.7897193853050055,8260,19.52803569713504,7.147041289305482,14309,12.380994407829556
2016,chubut,9398,577466,2.3249358898557295,3377,16.274551228990106,5.847963343296402,6021,10.426587885693703
2016,cordoba,56395,3606540,2.2338386851188594,31205,15.636870795832015,8.652337143078961,25190,6.984533652753054
2016,corrientes,19649,1080655,2.5974987391905837,7728,18.182491174334086,7.151218473981057,11921,11.031272700353028
2016,entre_rios,21886,1334489,2.3428978647043386,11101,16.40028505293037,8.318539905536877,10785,8.081745147393494
2016,formosa,11082,584614,2.708013932514201,4081,18.956097527599407,6.980674427913119,7001,11.975423099686289
2016,jujuy,11956,736542,2.318944472956056,4508,16.232611310692395,6.120492789277461,7448,10.112118521414935
2016,la_pampa,5105,346191,2.1065992885017644,2755,14.746195019512351,7.958034726494912,2350,6.788160293017439
2016,la_rioja,5820,362989,2.2905062451715383,2234,16.033543716200768,6.154456471132734,3586,9.879087245068034
2016,mendoza,32162,1907045,2.4092621980978044,14489,16.864835386684632,7.597618304759457,17673,9.267217081925175
2016,misiones,24705,1204182,2.930857390565308,7614,20.516001733957157,6.32296446882614,17091,14.193037265131018
2016,neuquen,11248,628897,2.555040241656651,3323,17.885281691596557,5.283854112835647,7925,12.601427578760909
2016,rio_negro,11749,708799,2.3679894743482586,4476,16.57592632043781,6.3149073291581965,7273,10.261018991279613
2016,salta,25733,1351878,2.719285954163658,8270,19.035001679145605,6.117415920667398,17463,12.917585758478207
2016,san_juan,13803,747488,2.637978325882346,5151,18.46584828117642,6.8910805257074355,8652,11.574767755468985
2016,san_luis,7427,482796,2.19761555605266,3228,15.38330889236862,6.686053736982079,4199,8.69725515538654
2016,santa_cruz,6101,329499,2.645141346624508,1474,18.515989426371554,4.473458189554445,4627,14.042531236817108
2016,santa_fe,54276,3425656,2.2634246654405126,32181,15.843972658083588,9.394113127529442,22095,6.449859530554146
2016,santiago_del_estero,18070,938109,2.7517362816352593,6386,19.262153971446814,6.807311303910313,11684,12.4548426675365
2016,tierra_del_fuego,2872,156071,2.6288401707281577,596,18.401881195097104,3.818774788397588,2276,14.583106406699516
2016,tucuman,27455,1613476,2.430865322535233,11301,17.01605725774663,7.004132692398276,16154,10.011924565348355
2017,buenos_aires,260846,17020578,2.189333069988239,138583,15.325331489917675,8.142085421540914,122263,7.183246068376761
2017,capital_federal,38800,3063728,1.809187089342508,32053,12.664309625397555,10.462090629455357,6747,2.2022189959421983
2017,catamarca,6426,404433,2.26984444889512,2579,15.88891114226584,6.376828794880734,3847,9.512082347385107
2017,chaco,23171,1168165,2.833626120576166,7834,19.835382844033163,6.706244408966199,15337,13.129138435066963
2017,chubut,8865,587956,2.153951267490376,3363,15.07765887243263,5.719815768526896,5502,9.357843103905735
2017,cordoba,55464,3645321,2.1735887104122162,30043,15.215120972885515,8.241523860312988,25421,6.973597112572527
2017,corrientes,19726,1090938,2.583098214563981,7290,18.081687501947865,6.682322918442662,12436,11.399364583505204
2017,entre_rios,21468,1347508,2.2759472618026337,10213,15.931630832618435,7.579175782258806,11255,8.352455050359628
2017,formosa,11299,589916,2.73622491531482,3911,19.153574407203738,6.629757456993877,7388,12.523816950209861
2017,jujuy,11615,745252,2.226476029968003,4492,15.585332209776022,6.027491372045965,7123,9.557840837730057
2017,la_pampa,4999,349299,2.0445030107239277,2706,14.311521075067493,7.746944594745476,2293,6.564576480322017
2017,la_rioja,5674,368166,2.201646617480779,2225,15.411526322365455,6.043469521900447,3449,9.368056800465009
2017,mendoza,30381,1928304,2.2507565493526216,14382,15.75529584546835,7.458367560301696,15999,8.296928285166654
2017,misiones,25319,1218771,2.9677437352874327,7120,20.77420614701203,5.841950620748278,18199,14.932255526263752
2017,neuquen,10439,637913,2.3377572087192364,3382,16.364300461034656,5.301663392970514,7057,11.062637068064141
2017,rio_negro,11212,718646,2.2287945465699184,4684,15.60156182598943,6.51781266437161,6528,9.08374916161782
2017,salta,25219,1370283,2.629175349700964,8170,18.404227447906745,5.962272027019236,17049,12.44195542088751
2017,san_juan,13368,755994,2.5260971458957155,5272,17.68268002127001,6.973600319579257,8096,10.709079701690753
2017,san_luis,7182,489225,2.0971945423884715,3223,14.680361796719302,6.58797077009556,3959,8.09239102662374
2017,santa_cruz,5688,338542,2.40020862572865,1523,16.80146038010055,4.4987032628152495,4165,12.302757117285301
2017,santa_fe,52525,3453674,2.1726345418158832,30013,15.208441792711183,8.6901658929013,22512,6.518275899809883
2017,santiago_del_estero,18298,948172,2.756883772142607,5993,19.298186404998248,6.3205831853292445,12305,12.977603219669003
2017,tierra_del_fuego,2656,161200,2.3537752570010637,559,16.476426799007445,3.467741935483871,2097,13.008684863523573
2017,tucuman,26458,1633992,2.3131779627527465,11017,16.192245739269225,6.742383071642945,15441,9.449862667626281
2018,buenos_aires,253242,17197160,2.103686223273411,135997,14.725803562913876,7.908108082962535,117245,6.817695479951341
2018,capital_federal,36472,3068043,1.6982440318749492,29723,11.887708223124644,9.687934621516062,6749,2.199773601608582
2018,catamarca,6679,408152,2.3377145209207773,2666,16.36400164644544,6.531880279895725,4013,9.832121366549716
2018,chaco,23444,1180477,2.8371097930267655,8110,19.859768551187358,6.870104203639715,15334,12.989664347547642
2018,chubut,8352,598380,1.993955107361304,3353,13.957685751529128,5.603462682576289,4999,8.35422306895284
2018,cordoba,53689,3683937,2.081972938966422,29754,14.573810572764954,8.076685350482377,23935,6.497125222282577
2018,corrientes,19779,1101084,2.566172452393667,7269,17.96320716675567,6.601676166396024,12510,11.361531000359644
2018,entre_rios,20845,1360443,2.1888878423110287,10745,15.3222148961772,7.898162583805423,10100,7.424052312371778
2018,formosa,11442,595129,2.746583393804417,3898,19.226083756630917,6.549840454758548,7544,12.676243301872368
2018,jujuy,11675,753891,2.21233194567536,4498,15.486323619727521,5.966379755163545,7177,9.519943864563977
2018,la_pampa,4788,352378,1.9410973443291013,2488,13.58768141030371,7.06059969691638,2300,6.52708171338733
2018,la_rioja,5497,373348,2.10336124550209,2334,14.723528718514629,6.25154011806679,3163,8.471988600447839
2018,mendoza,29638,1949293,2.172069565734859,13971,15.204486960144012,7.167213959112355,15667,8.037273001031657
2018,misiones,24695,1233177,2.8607873345490087,7180,20.02551134184306,5.8223596450469,17515,14.20315169679616
2018,neuquen,10185,646784,2.249591826637641,3287,15.747142786463487,5.082067583613695,6898,10.665075202849792
2018,rio_negro,10481,728403,2.0555732393822024,4590,14.389012675675417,6.30145674853069,5891,8.087555927144727
